Atomic Number			Relative Atomic Mass	Isotopic Composition	Attributes
1	H	Hydrogen	1.007825032	99.9885	
1	D	Deuterium	2.014101778	0.0115	
1	T	Tritium	3.016049268	0	r
2			3.01602931	0.000137	
2			4.00260325	99.999863	
3			6.0151223	7.59	
3			7.016004	92.41	
4			9.0121821	100	
5			10.012937	19.9	
5			11.0093055	80.1	
6			12	98.93	
6			13.00335484	1.07	
6			14.00324199	0	
7			14.00307401	99.632	
7			15.0001089	0.368	
8			15.99491462	99.757
8			16.9991315	0.038
8			17.9991604	0.205
9			18.9984032	100
10			19.99244018	90.48
10			20.99384674	0.27
10			21.99138551	9.25
11			22.98976967	100
12			23.9850419	78.99
12			24.98583702	10
12			25.98259304	11.01
13			26.98153844	100
14			27.97692653	92.2297
14			28.97649472	4.6832
14			29.97377022	3.0872
15			30.97376151	100
16			31.97207069	94.93
16			32.9714585	0.76
16			33.96786683	4.29
16			35.96708088	0.02
17			34.96885271	75.78
17			36.9659026	24.22
18			35.96754628	0.3365
18			37.9627322	0.0632
18			39.96238312	99.6003
19			38.9637069	93.2581
19			39.96399867	0.0117
19			40.96182597	6.7302
20			39.9625912	96.941
20			41.9586183	0.647
20			42.9587668	0.135
20			43.9554811	2.086
20			45.9536928	0.004
20			47.952534	0.187
21			44.9559102	100
22			45.9526295	8.25
22			46.9517638	7.44
22			47.9479471	73.72
22			48.9478708	5.41
22			49.9447921	5.18
23			49.9471628	0.25
23			50.9439637	99.75
24			49.9460496	4.345
24			51.9405119	83.789
24			52.9406538	9.501
24			53.9388849	2.365
25			54.9380496	100
26			53.9396148	5.845
26			55.9349421	91.754
26			56.9353987	2.119
26			57.9332805	0.282
27			58.9332002	100
28			57.9353479	68.0769
28			59.9307906	26.2231
28			60.9310604	1.1399
28			61.9283488	3.6345
28			63.9279696	0.9256
29			62.9296011	69.17
29			64.9277937	30.83
30			63.9291466	48.63
30			65.9260368	27.9
30			66.9271309	4.1
30			67.9248476	18.75
30			69.925325	0.62
31			68.925581	60.108
31			70.924705	39.892
32			69.9242504	20.84
32			71.9220762	27.54
32			72.9234594	7.73
32			73.9211782	36.28
32			75.9214027	7.61
33			74.9215964	100
34			73.9224766	0.89
34			75.9192141	9.37
34			76.9199146	7.63
34			77.9173095	23.77
34			79.9165218	49.61
34			81.9167	8.73
35			78.9183376	50.69
35			80.916291	49.31
36			77.920386	0.35
36			79.916378	2.28
36			81.9134846	11.58
36			82.914136	11.49
36			83.911507	57
36			85.9106103	17.3
37			84.9117893	72.17
37			86.9091835	27.83
38			83.913425	0.56
38			85.9092624	9.86
38			86.9088793	7
38			87.9056143	82.58
39			88.9058479	100
40			89.9047037	51.45
40			90.905645	11.22
40			91.9050401	17.15
40			93.9063158	17.38
40			95.908276	2.8
41			92.9063775	100
42			91.90681	14.84
42			93.9050876	9.25
42			94.9058415	15.92
42			95.9046789	16.68
42			96.906021	9.55
42			97.9054078	24.13
42			99.907477	9.63
43			96.906365	0
43			97.907216	0
43			98.9062546	0
44			95.907598	5.54
44			97.905287	1.87
44			98.9059393	12.76
44			99.9042197	12.6
44			100.9055822	17.06
44			101.9043495	31.55
44			103.90543	18.62
45			102.905504	100
46			101.905608	1.02
46			103.904035	11.14
46			104.905084	22.33
46			105.903483	27.33
46			107.903894	26.46
46			109.905152	11.72
47			106.905093	51.839
47			108.904756	48.161
48			105.906458	1.25
48			107.904183	0.89
48			109.903006	12.49
48			110.904182	12.8
48			111.9027572	24.13
48			112.9044009	12.22
48			113.9033581	28.73
48			115.904755	7.49
49			112.904061	4.29
49			114.903878	95.71
50			111.904821	0.97
50			113.902782	0.66
50			114.903346	0.34
50			115.901744	14.54
50			116.902954	7.68
50			117.901606	24.22
50			118.903309	8.59
50			119.9021966	32.58
50			121.9034401	4.63
50			123.9052746	5.79
51			120.903818	57.21
51			122.9042157	42.79
52			119.90402	0.09
52			121.9030471	2.55
52			122.904273	0.89
52			123.9028195	4.74
52			124.9044247	7.07
52			125.9033055	18.84
52			127.9044614	31.74
52			129.9062228	34.08
53			126.904468	100
54			123.9058958	0.09
54			125.904269	0.09
54			127.9035304	1.92
54			128.9047795	26.44
54			129.9035079	4.08
54			130.9050819	21.18
54			131.9041545	26.89
54			133.9053945	10.44
54			135.90722	8.87
55			132.905447	100
56			129.90631	0.106
56			131.905056	0.101
56			133.904503	2.417
56			134.905683	6.592
56			135.90457	7.854
56			136.905821	11.232
56			137.905241	71.698
57			137.907107	0.09
57			138.906348	99.91
58			135.90714	0.185
58			137.905986	0.251
58			139.905434	88.45
58			141.90924	11.114
59			140.907648	100
60			141.907719	27.2
60			142.90981	12.2
60			143.910083	23.8
60			144.912569	8.3
60			145.913112	17.2
60			147.916889	5.7
60			149.920887	5.6
61			144.912744	0
61			146.915134	0
62			143.911995	3.07
62			146.914893	14.99
62			147.914818	11.24
62			148.91718	13.82
62			149.917271	7.38
62			151.919728	26.75
62			153.922205	22.75
63			150.919846	47.81
63			152.921226	52.19
64			151.919788	0.2
64			153.920862	2.18
64			154.922619	14.8
64			155.92212	20.47
64			156.923957	15.65
64			157.924101	24.84
64			159.927051	21.86
65			158.925343	100
66			155.924278	0.06
66			157.924405	0.1
66			159.925194	2.34
66			160.92693	18.91
66			161.926795	25.51
66			162.928728	24.9
66			163.929171	28.18
67			164.930319	100
68			161.928775	0.14
68			163.929197	1.61
68			165.93029	33.61
68			166.932045	22.93
68			167.932368	26.78
69			168.934211	100
70			167.933894	0.13
70			169.934759	3.04
70			170.936322	14.28
70			171.9363777	21.83
70			172.9382068	16.13
